School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
D.G. Cooley Elementary,Clarke County Public Schools,41.0,59.0,0.0
D.J. Montague Elementary,Williamsburg-James City County Public Schools,38.0,58.0,0.0
Dale City Elementary,Prince William County Public Schools,40.0,58.0,2.0
Damascus Middle,Washington County Public Schools,41.0,59.0,0.0
Dan River High,Pittsylvania County Public Schools,50.0,46.0,0.0
Dan River Middle,Pittsylvania County Public Schools,61.0,35.0,0.0
Daniel Morgan Intermediate,Winchester City Public Schools,32.0,53.0,8.0
Daniel Morgan Middle,Winchester City Public Schools,33.0,65.0,2.0
Daniels Run Elementary,Fairfax County Public Schools,21.0,77.0,1.0
Dare Elementary,York County Public Schools,27.0,68.0,3.0
David A. Dutrow Elementary,Newport News City Public Schools,31.0,66.0,0.0
David A. Harrison Elementary,Prince George County Public Schools,56.0,33.0,0.0
Deep Creek Central Elementary,Chesapeake City Public Schools,34.0,63.0,2.0
Deep Creek Elementary,Chesapeake City Public Schools,36.0,50.0,2.0
Deep Creek High,Chesapeake City Public Schools,36.0,59.0,2.0
Deep Creek Middle,Chesapeake City Public Schools,33.0,62.0,0.0
Deep Run High,Henrico County Public Schools,39.0,57.0,2.0
Deer Park Elementary,Fairfax County Public Schools,16.0,82.0,2.0
Deer Park Elementary,Newport News City Public Schools,41.0,41.0,0.0
Denbigh High,Newport News City Public Schools,32.0,54.0,1.0
Dinwiddie County High,Dinwiddie County Public Schools,53.0,44.0,2.0
Dinwiddie County Middle,Dinwiddie County Public Schools,56.0,42.0,0.0
Dinwiddie Elementary,Dinwiddie County Public Schools,51.0,49.0,0.0
Discovery Elementary,Arlington County Public Schools,16.0,78.0,4.0
Discovery Elementary,Loudoun County Public Schools,27.0,71.0,0.0
Discovery STEM Academy,Newport News City Public Schools,36.0,55.0,0.0
Dogwood Elementary,Fairfax County Public Schools,28.0,72.0,0.0
Dominion High,Loudoun County Public Schools,22.0,72.0,4.0
Dominion Trail Elementary,Loudoun County Public Schools,37.0,63.0,0.0
Donald B. Dixon-Lyle R. Smith Middle,Stafford County Public Schools,38.0,57.0,0.0
Dorothy Hamm Middle,Arlington County Public Schools,23.0,75.0,0.0
Douglas MacArthur Elementary,Alexandria City Public Schools,26.0,71.0,3.0
Douglas S. Freeman High,Henrico County Public Schools,29.0,70.0,0.0
Douglass Park Elementary,Portsmouth City Public Schools,38.0,44.0,3.0
Dr. Charles R. Drew Elementary,Arlington County Public Schools,27.0,67.0,0.0
Dranesville Elementary,Fairfax County Public Schools,38.0,63.0,0.0
Drewry Mason Elementary,Henry County Public Schools,52.0,48.0,0.0
Dryden Elementary,Lee County Public Schools,50.0,47.0,0.0
